Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2016,Manhattan Night,17.032,318,below_avg,Thriller
2017,Inconceivable,17.03,270,not_popular,Thriller
2017,Inconceivable,17.03,270,not_popular,Drama
1994,It Could Happen to You,17.03,534,below_avg,Comedy
1994,It Could Happen to You,17.03,534,below_avg,Drama
1994,It Could Happen to You,17.03,534,below_avg,Romance
2019,"Where'd You Go, Bernadette",17.029,495,Average,Drama
2019,"Where'd You Go, Bernadette",17.029,495,Average,Comedy
2003,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,17.023,308,Popular,Animation
2003,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,17.023,308,Popular,Science Fiction
2003,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,17.023,308,Popular,Music
2003,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,17.023,308,Popular,Adventure
1960,The Apartment,17.019,1669,Popular,Comedy
1960,The Apartment,17.019,1669,Popular,Drama
1960,The Apartment,17.019,1669,Popular,Romance
2015,"McFarland, USA",17.017,602,Popular,Drama
2015,"McFarland, USA",17.017,602,Popular,Family
1957,Witness for the Prosecution,17.015,944,Popular,Drama
1957,Witness for the Prosecution,17.015,944,Popular,Mystery
1957,Witness for the Prosecution,17.015,944,Popular,Crime
1953,Tokyo Story,17.013,729,Popular,Drama
2000,Joint Security Area,17.009,435,Popular,War
2000,Joint Security Area,17.009,435,Popular,Drama
2000,Joint Security Area,17.009,435,Popular,Thriller
2000,Joint Security Area,17.009,435,Popular,Action
1996,The Ghost and the Darkness,17.005,734,Average,Adventure
1996,The Ghost and the Darkness,17.005,734,Average,Horror
2001,Sweet November,17.004,1045,Average,Drama
2001,Sweet November,17.004,1045,Average,Romance
2017,Loving Vincent,17.003,2022,Popular,Animation
2017,Loving Vincent,17.003,2022,Popular,Drama
2017,Loving Vincent,17.003,2022,Popular,Mystery
2017,Loving Vincent,17.003,2022,Popular,History
2021,Best Sellers,17.0,45,below_avg,Comedy
2021,Best Sellers,17.0,45,below_avg,Drama
1989,Field of Dreams,16.997,1108,Average,Drama
1989,Field of Dreams,16.997,1108,Average,Fantasy
1991,The Raffle,16.995,100,Average,Drama
1975,Three Days of the Condor,16.992,800,Popular,Thriller
1975,Three Days of the Condor,16.992,800,Popular,Mystery
1975,Three Days of the Condor,16.992,800,Popular,Adventure
2015,Tag,16.987,234,Average,Thriller
2015,Tag,16.987,234,Average,Comedy
2015,Tag,16.987,234,Average,Action
2002,Dark Water,16.983,403,Average,Horror
2002,Dark Water,16.983,403,Average,Thriller
2002,Dark Water,16.983,403,Average,Mystery
2018,Redbad,16.982,137,below_avg,Adventure
2018,Redbad,16.982,137,below_avg,History
2018,Redbad,16.982,137,below_avg,War
2018,Redbad,16.982,137,below_avg,Drama
2020,Archive,16.981,442,below_avg,Science Fiction
2020,Archive,16.981,442,below_avg,Drama
2020,Archive,16.981,442,below_avg,Fantasy
2020,Archive,16.981,442,below_avg,Thriller
2014,Resident Evil: Keeper's Diary,16.981,6,Popular,Horror
1983,The Right Stuff,16.981,652,Popular,Drama
